Shorthand	DOI	Authors	Journal	Title	Date	bioRxiv DOI	Reported cells total	Organism	Tissue	Technique	Data location	Panel size	Measurement	Cell source	Disease	Contrasts	Developmental stage	Number of reported cell types or clusters	Cell clustering	Pseudotime	RNA Velocity	PCA	tSNE	H5AD location	Isolation	BC --> Cell ID _OR_ BC --> Cluster ID	Number individuals
Romanov et al NNeuroscience	10.1038/nn.4462	Roman A Romanov, Amit Zeisel, Joanne Bakker, Fatima Girach, Arash Hellysaz, Raju Tomer, Alán Alpár, Jan Mulder, Frédéric Clotman, Erik Keimpema, Brian Hsueh, Ailey K Crow, Henrik Martens, Christian Schwindling, Daniela Calvigioni, Jaideep S Bains, Zoltán Máté, Gábor Szabó, Yuchio Yanagawa, Ming-Dong Zhang, Andre Rendeiro, Matthias Farlik, Mathias Uhlén, Peer Wulff, Christoph Bock, Christian Broberger, Karl Deisseroth, Tomas Hökfelt, Sten Linnarsson, Tamas L Horvath, Tibor Harkany	Nat Neurosci	Molecular interrogation of hypothalamic organization reveals distinct dopamine neuronal subtypes	20161219	""	3,131	Mouse	Brain	STRT-seq & Drop-seq	GSE74672	""	RNA-seq	Hypothalamus	""	""	Adult	62	Yes	""	""	""	""	""	""	""	
Lu et al CReports	10.1016/j.celrep.2016.11.077	Yi-Fen Lu, Patrick Cahan, Samantha Ross, Julie Sahalie, Patricia M. Sousa, Brandon K. Hadland, Wenqing Cai, Erik Serrao, Alan N. Engelman, Irwin D. Bernstein, George Q. Daley	Cell Reports	Engineered Murine HSCs Reconstitute Multi-lineage Hematopoiesis and Adaptive Immunity	20161222	-	316	Mouse	""	SMARTer (C1)	GSE71794	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Wu et al JEM	10.1084/jem.20161056	Yee Ling Wu, Michael J.T. Stubbington, Maria Daly, Sarah A. Teichmann, Cristina Rada	J. Exp. Med.	Intrinsic transcriptional heterogeneity in B cells controls early class switching to IgE	20170102	-	213	Mouse	""	SMARTer (C1) & Smart-seq2	E-MTAB-4825	""	RNA-seq	B cells	""	""	""	2	Yes	""	""	""	""	""	""	""	
Tung et al SRep	10.1038/srep39921	Po-Yuan Tung, John D. Blischak, Chiaowen Joyce Hsiao, David A. Knowles, Jonathan E. Burnett, Jonathan K. Pritchard, Yoav Gilad	Sci Rep	Batch effects and the effective design of single-cell gene expression studies	20170103	-	564	Human	Culture	STRT-seq (C1)	GSE77288	""	RNA-seq	iPSCs	""	""	""		""	""	""	""	""	""	""	""	
Wills et al BMCGenomics	10.1186/s12864-016-3445-0	Quin F. Wills, Esther Mellado-Gomez, Rory Nolan, Damien Warner, Eshita Sharma, John Broxholme, Benjamin Wright, Helen Lockstone, William James, Mark Lynch, Michael Gonzales, Jay West, Anne Leyrat, Sergi Padilla-Parra, Sarah Filippi, Chris Holmes, Michael D. Moore, Rory Bowden	BMC Genomics	The nature and nurture of cell heterogeneity: accounting for macrophage gene-environment interactions with single-cell RNA-Seq	20170107	-	503	Human	Culture	SMARTer (Polaris)	GSE87849	""	RNA-seq	HUES2 embryonic stem cell derived macrophage	""	""	""		""	""	""	""	""	""	""	""	
Richard et al PLoSBiology	10.1371/journal.pbio.1002585	Angélique Richard, Loïs Boullu, Ulysse Herbach, Arnaud Bonnafoux, Valérie Morin, Elodie Vallin, Anissa Guillemin, Nan Papili Gao, Rudiyanto Gunawan, Jérémie Cosette, Ophélie Arnaud, Jean-Jacques Kupiec, Thibault Espinasse, Sandrine Gonin-Giraud, Olivier Gandrillon	PLoS Biol	Single-Cell-Based Analysis Highlights a Surge in Cell-to-Cell Molecular Variability Preceding Irreversible Commitment in a Differentiation Process	20170109	""	389	Chicken	""	""	""	91	qPCR	T2EC	""	hours 0, 8, 24, 48, 72	""		""	""	""	""	""	""	""	""	
Carmona et al GResearch	10.1101/gr.207704.116	Santiago J. Carmona, Sarah A. Teichmann, Lauren Ferreira, Iain C. Macaulay, Michael J.T. Stubbington, Ana Cvejic, David Gfeller	Genome Res.	Single-cell transcriptome analysis of fish immune cells provides insight into the evolution of vertebrate immune cell types	20170114	10.1101/074344	278	Zebrafish	Spleen	Smart-seq2	E-MTAB-4617	""	RNA-seq	Spleen lck cells	""	""	""	3	Yes	No	No	No	No	""	""	""	
Zheng et al NComm	10.1038/ncomms14049	Grace X. Y. Zheng, Jessica M. Terry, Phillip Belgrader, Paul Ryvkin, Zachary W. Bent, Ryan Wilson, Solongo B. Ziraldo, Tobias D. Wheeler, Geoff P. McDermott, Junjie Zhu, Mark T. Gregory, Joe Shuga, Luz Montesclaros, Jason G. Underwood, Donald A. Masquelier, Stefanie Y. Nishimura, Michael Schnall-Levin, Paul W. Wyatt, Christopher M. Hindson, Rajiv Bharadwaj, Alexander Wong, Kevin D. Ness, Lan W. Beppu, H. Joachim Deeg, Christopher McFarland, Keith R. Loeb, William J. Valente, Nolan G. Ericson, Emily A. Stevens, Jerald P. Radich, Tarjei S. Mikkelsen, Benjamin J. Hindson, Jason H. Bielas	Nat Commun	Massively parallel digital transcriptional profiling of single cells	20170116	10.1101/065912	250,000	Human, Mouse	Blood	GemCode	SRP073767	""	RNA-seq	PBMCs	""	""	""		Yes	""	""	Yes	Yes	""	Nanodroplet dilution	""	
Dulken et al CReports	10.1016/j.celrep.2016.12.060	Ben W. Dulken, Dena S. Leeman, Stéphane C. Boutet, Katja Hebestreit, Anne Brunet	Cell Reports	Single-Cell Transcriptomic Analysis Defines Heterogeneity and Transcriptional Dynamics in the Adult Neural Stem Cell Lineage	20170117	""	329	Mouse	Brain	SMARTer (C1)	PRJNA324289	""	RNA-seq	Subventricular zone	""	""	Adult		""	""	""	""	""	""	""	""	
Spathling et al CReports	10.1016/j.celrep.2016.12.066	Jennifer M. Spaethling, Young-Ji Na, Jaehee Lee, Alexandra V. Ulyanova, Gordon H. Baltuch, Thomas J. Bell, Steven Brem, H. Isaac Chen, Hannah Dueck, Stephen A. Fisher, Marcela P. Garcia, Mugdha Khaladkar, David K. Kung, Timothy H. Lucas, Donald M. O’Rourke, Derek Stefanik, Jinhui Wang, John A. Wolf, Tamas Bartfai, M. Sean Grady, Jai-Yoon Sul, Junhyong Kim, James H. Eberwine	Cell Reports	Primary Cell Culture of Live Neurosurgically Resected Aged Adult Human Brain Cells and Single Cell Transcriptomics	20170117	-	300	Human	Culture	aRNA amplification	phs000833.v5.p1	""	RNA-seq	Brain slice culture	""	""	""	8	""	""	""	""	""	""	""	""	
Datlinger et al NMeth	10.1038/nmeth.4177	Paul Datlinger, André F Rendeiro, Christian Schmidl, Thomas Krausgruber, Peter Traxler, Johanna Klughammer, Linda C Schuster, Amelie Kuchler, Donat Alpar, Christoph Bock	Nat Methods	Pooled CRISPR screening with single-cell transcriptome readout	20170118	10.1101/083774	5,905	Human, Mouse	Culture	CROP-seq	GSE92872	""	RNA-seq	HEK293T, 3T3, Jurkat	""	""	""		""	""	""	""	No	""	""	""	
Halpern et al Nature	10.1038/nature21065	Keren Bahar Halpern, Rom Shenhav, Orit Matcovitch-Natan, Beáta Tóth, Doron Lemze, Matan Golan, Efi E. Massasa, Shaked Baydatch, Shanie Landen, Andreas E. Moor, Alexander Brandis, Amir Giladi, Avigail Stokar-Avihail, Eyal David, Ido Amit, Shalev Itzkovitz	Nature	Single-cell spatial reconstruction reveals global division of labour in the mammalian liver	20170203	""	1,500	Mouse	Liver	MARS-seq	GSE84498	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Campbell et al NNeuroscience	10.1038/nn.4495	John N Campbell, Evan Z Macosko, Henning Fenselau, Tune H Pers, Anna Lyubetskaya, Danielle Tenen, Melissa Goldman, Anne M J Verstegen, Jon M Resch, Steven A McCarroll, Evan D Rosen, Bradford B Lowell, Linus T Tsai	Nat Neurosci	A molecular census of arcuate hypothalamus and median eminence cell types	20170206	""	20,921	Mouse	Brain	Drop-seq	GSE93374	""	RNA-seq	Hypothalamic arcuate-median eminance complex	""	""	Adult	50	Yes	""	""	""	""	""	""	""	
Bergaje et al PNAS	10.1073/pnas.1621412114	Rhishikesh Bargaje, Kalliopi Trachana, Martin N. Shelton, Christopher S. McGinnis, Joseph X. Zhou, Cora Chadick, Savannah Cook, Christopher Cavanaugh, Sui Huang, Leroy Hood	Proc Natl Acad Sci USA	Cell population structure prior to bifurcation predicts efficiency of directed differentiation in human induced pluripotent cells	20170207	""	1,896	Human	Culture	""	""	96	qPCR	iPScs differentiating into mesodermal or endodermal fate	""	Day 0, 1, 1.5, 2, 2.5, 3, 4, 5	""		""	""	""	""	""	""	""	""	
Gierahn et al NMeth	10.1038/nmeth.4179	Todd M Gierahn, Marc H Wadsworth, Travis K Hughes, Bryan D Bryson, Andrew Butler, Rahul Satija, Sarah Fortune, J Christopher Love, Alex K Shalek	Nat Methods	Seq-Well: portable, low-cost RNA sequencing of single cells at high throughput	20170213	-	4,638	Human, Mouse	Blood, Culture	Seq-Well	GSE92495	""	RNA-seq	HEK293, NIH3T3, PBMC, Monocyte-derived macrophages	""	""	""		""	""	""	""	""	""	Picowell deposition	""	
Kakaradov et al NImmunology	10.1038/ni.3688	Boyko Kakaradov, Janilyn Arsenio, Christella E Widjaja, Zhaoren He, Stefan Aigner, Patrick J Metz, Bingfei Yu, Ellen J Wehrens, Justine Lopez, Stephanie H Kim, Elina I Zuniga, Ananda W Goldrath, John T Chang, Gene W Yeo	Nat Immunol	Early transcriptional and epigenetic regulation of CD8+ T cell differentiation revealed by single-cell RNA sequencing	20170221	-	304	Mouse	""	SMARTer (C1)	GSE89405	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Guillaumet-Adkins et al GB	10.1186/s13059-017-1171-9	Amy Guillaumet-Adkins, Gustavo Rodríguez-Esteban, Elisabetta Mereu, Maria Mendez-Lago, Diego A. Jaitin, Alberto Villanueva, August Vidal, Alex Martinez-Marti, Enriqueta Felip, Ana Vivancos, Hadas Keren-Shaul, Simon Heath, Marta Gut, Ido Amit, Ivo Gut, Holger Heyn	Genome Biol	Single-cell transcriptome conservation in cryopreserved cells and tissues	20170301	-	1,486	Human, Dog, Mouse	Culture, Colon, Blood	Smart-seq2	GSE85534	""	RNA-seq	Colon, HEK293, K562, MDCK, NIH3T3, PBMCs, PDOX	""	Cryo vs Fresh	""		""	""	""	""	""	""	""	""	
Lonnberg et al SImmunology	10.1126/sciimmunol.aal2192	Tapio Lönnberg, Valentine Svensson, Kylie R. James, Daniel Fernandez-Ruiz, Ismail Sebina, Ruddy Montandon, Megan S. F. Soon, Lily G. Fogg, Arya Sheela Nair, Urijah N. Liligeto, Michael J. T. Stubbington, Lam-Ha Ly, Frederik Otzen Bagger, Max Zwiessele, Neil D. Lawrence, Fernando Souza-Fonseca-Guimaraes, Patrick T. Bunn, Christian R. Engwerda, William R. Heath, Oliver Billker, Oliver Stegle, Ashraful Haque, Sarah A. Teichmann	Sci. Immunol.	Single-cell RNA-seq and computational analysis using temporal mixture modeling resolves TH1/TFHfate bifurcation in malaria	20170304	-	1,598	Mouse	""	SMARTer (C1) & Smart-seq2	E-MTAB-4388	""	RNA-seq	T helper cells	""	""	""	4	No	Yes	No	Yes	No	""	""	""	
Lee et al NGenetics	10.1038/ng.3806	Jin-Ku Lee, Jiguang Wang, Jason K Sa, Erik Ladewig, Hae-Ock Lee, In-Hee Lee, Hyun Ju Kang, Daniel S Rosenbloom, Pablo G Camara, Zhaoqi Liu, Patrick van Nieuwenhuizen, Sang Won Jung, Seung Won Choi, Junhyung Kim, Andrew Chen, Kyu-Tae Kim, Sang Shin, Yun Jee Seo, Jin-Mi Oh, Yong Jae Shin, Chul-Kee Park, Doo-Sik Kong, Ho Jun Seol, Andrew Blumberg, Jung-Il Lee, Antonio Iavarone, Woong-Yang Park, Raul Rabadan, Do-Hyun Nam	Nat Genet	Spatiotemporal genomic architecture informs precision oncology in glioblastoma	20170306	""	355	Human	Brain	SMARTer (C1)	EGAS00001001880	""	RNA-seq	Glioblastoma	""	""	""		""	""	""	""	""	""	""	""	
Barriga et al CSC	10.1016/j.stem.2017.02.007	Francisco M. Barriga, Elisa Montagni, Miyeko Mana, Maria Mendez-Lago, Xavier Hernando-Momblona, Marta Sevillano, Amy Guillaumet-Adkins, Gustavo Rodriguez-Esteban, Simon J.A. Buczacki, Marta Gut, Holger Heyn, Douglas J. Winton, Omer H. Yilmaz, Camille Stephan-Otto Attolini, Ivo Gut, Eduard Batlle	Cell Stem Cell	Mex3a Marks a Slowly Dividing Subpopulation of Lgr5+ Intestinal Stem Cells	20170309	""	245	Mouse	Intestine	SMARTer (C1HT)	GSE90856	""	RNA-seq	Lgr5+ intestinal stem cells	""	""	""		""	""	""	""	""	""	""	""	
Li et al NGenetics	10.1038/ng.3818	Huipeng Li, Elise T Courtois, Debarka Sengupta, Yuliana Tan, Kok Hao Chen, Jolene Jie Lin Goh, Say Li Kong, Clarinda Chua, Lim Kiat Hon, Wah Siew Tan, Mark Wong, Paul Jongjoon Choi, Lawrence J K Wee, Axel M Hillmer, Iain Beehuat Tan, Paul Robson, Shyam Prabhakar	Nat Genet	Reference component analysis of single-cell transcriptomes elucidates cellular heterogeneity in human colorectal tumors	20170320	-	1,187	Human	Colon	SMARTer (C1)	GSE81861	""	RNA-seq	CRC tumors; mucosa; cell lines	""	""	""	7	Yes	No	No	Yes	Yes	""	IFC Capture	""	
Velten et al NCB	10.1038/ncb3493	Lars Velten, Simon F. Haas, Simon Raffel, Sandra Blaszkiewicz, Saiful Islam, Bianca P. Hennig, Christoph Hirche, Christoph Lutz, Eike C. Buss, Daniel Nowak, Tobias Boch, Wolf-Karsten Hofmann, Anthony D. Ho, Wolfgang Huber, Andreas Trumpp, Marieke A. G. Essers, Lars M. Steinmetz	Nat Cell Biol	Human haematopoietic stem cell lineage commitment is a continuous process	20170320	-	2,414	Human	Bone marrow	Quartz-seq & Smart-seq2	GSE75478	""	RNA-seq	HSPCs	""	Index sorting	""		""	""	""	""	""	""	""	""	
Herault et al Nature	10.1038/nature21693	Aurélie Hérault, Mikhail Binnewies, Stephanie Leong, Fernando J. Calero-Nieto, Si Yi Zhang, Yoon-A Kang, Xiaonan Wang, Eric M. Pietras, S. Haihua Chu, Keegan Barry-Holson, Scott Armstrong, Berthold Göttgens, Emmanuelle Passegué	Nature	Myeloid progenitor cluster formation drives emergency and leukaemic myelopoiesis	20170328	-	958	Mouse	Bone marrow	Smart-seq2	GSE90799	""	RNA-seq	granulocyte/macrophage progenitors	""	""	""		""	""	""	""	""	""	""	""	
Chen et al CReports	10.1016/j.celrep.2017.03.004	Renchao Chen, Xiaoji Wu, Lan Jiang, Yi Zhang	Cell Reports	Single-Cell RNA-Seq Reveals Hypothalamic Cell Diversity	20170328	-	14,437	Mouse	Brain	Drop-seq	GSE87544	""	RNA-seq	Hypothalamus	""	""	Adult	45	Yes	""	""	""	""	""	""	""	
Venteicher et al Science	10.1126/science.aai8478	Andrew S. Venteicher, Itay Tirosh, Christine Hebert, Keren Yizhak, Cyril Neftel, Mariella G. Filbin, Volker Hovestadt, Leah E. Escalante, McKenzie L. Shaw, Christopher Rodman, Shawn M. Gillespie, Danielle Dionne, Christina C. Luo, Hiranmayi Ravichandran, Ravindra Mylvaganam, Christopher Mount, Maristela L. Onozato, Brian V. Nahed, Hiroaki Wakimoto, William T. Curry, A. John Iafrate, Miguel N. Rivera, Matthew P. Frosch, Todd R. Golub, Priscilla K. Brastianos, Gad Getz, Anoop P. Patel, Michelle Monje, Daniel P. Cahill, Orit Rozenblatt-Rosen, David N. Louis, Bradley E. Bernstein, Aviv Regev, Mario L. Suvà	Science	Decoupling genetics, lineages, and microenvironment in IDH-mutant gliomas by single-cell RNA-seq	20170330	-	6,341	Human	Brain	Smart-seq2	GSE89567	""	RNA-seq	Astrocytoma and oligodendrocytoma tumors, Microglia	Oligodendrocytoma	Tumor vs non-Tumor	""	3	Yes	""	""	""	""	""	""	""	
Martinez-Jimenez et al Science	10.1126/science.aah4115	Celia Pilar Martinez-Jimenez, Nils Eling, Hung-Chang Chen, Catalina A. Vallejos, Aleksandra A. Kolodziejczyk, Frances Connor, Lovorka Stojic, Timothy F. Rayner, Michael J. T. Stubbington, Sarah A. Teichmann, Maike de la Roche, John C. Marioni, Duncan T. Odom	Science	Aging increases cell-to-cell transcriptional variability upon immune stimulation	20170330	-	1,506	Mouse	Spleen	SMARTer (C1)	E-MTAB-4888	""	RNA-seq	T helper cells	""	Young vs old	3 months, 21 months		""	""	""	""	""	""	""	""	
Wallace et al Neuron	10.1016/j.neuron.2017.03.017	Michael L. Wallace, Arpiar Saunders, Kee Wui Huang, Adrienne C. Philson, Melissa Goldman, Evan Z. Macosko, Steven A. McCarroll, Bernardo L. Sabatini	Neuron	Genetically Distinct Parallel Pathways in the Entopeduncular Nucleus for Limbic and Sensorimotor Output of the Basal Ganglia	20170405	-	24,000	Mouse	Brain	Drop-seq	GSE95133	""	RNA-seq	EP neurons from basal ganglia	""	""	50-150 day old	10	Yes	No	No	Yes	Yes	""	""	""	
Lane et al CSystems	10.1016/j.cels.2017.03.010	Keara Lane, David Van Valen, Mialy M. DeFelice, Derek N. Macklin, Takamasa Kudo, Ariel Jaimovich, Ambrose Carr, Tobias Meyer, Dana Pe'er, Stéphane C. Boutet, Markus W. Covert	Cell Systems	Measuring Signaling and RNA-Seq in the Same Cell Links Gene Expression to Dynamic Patterns of NF-κB Activation	20170405	-	839	Mouse	Culture	SMARTer (C1)	GSE94383	""	RNA-seq	264.7 macrophage monocyte cell line	""	LPS stimulation	""		""	""	""	""	""	""	""	""	
Xie et al MCell	10.1016/j.molcel.2017.03.007	Shiqi Xie, Jialei Duan, Boxun Li, Pei Zhou, Gary C. Hon	Molecular Cell	Multiplexed Engineering and Analysis of Combinatorial Enhancer Activity in Single Cells	20170413	""	51,448	Human, Mouse	Culture	Mosaic-seq	GSE81884	""	RNA-seq	K562, MEF	""	CRISPR-screen	""		""	""	""	""	""	""	""	""	
Yang et al Cell	10.1016/j.cell.2017.03.038	Hanseul Yang, Rene C. Adam, Yejing Ge, Zhong L. Hua, Elaine Fuchs	Cell	Epithelial-Mesenchymal Micro-niches Govern Stem Cell Lineage Choices	20170413	""	764	Mouse	Skin	Smart-seq2	GSE90848	""	RNA-seq	Hair follicle	""	""	""		""	""	""	""	""	""	""	""	
Adeegbe et al CDiscovery	10.1158/2159-8290.CD-16-1020	Dennis O. Adeegbe, Yan Liu, Patrick H. Lizotte, Yusuke Kamihara, Amir R. Aref, Christina Almonte, Ruben Dries, Yuyang Li, Shengwu Liu, Xiaoen Wang, Tiquella Warner-Hatten, Jessica Castrillon, Guo-Cheng Yuan, Neermala Poudel-Neupane, Haikuo Zhang, Jennifer L. Guerriero, Shiwei Han, Mark M. Awad, David A. Barbie, Jerome Ritz, Simon S. Jones, Peter S. Hammerman, James Bradner, Steven N. Quayle, Kwok-Kin Wong	Cancer Discov	Synergistic Immunostimulatory Effects and Therapeutic Benefit of Combined Histone Deacetylase and Bromodomain Inhibition in Non–Small Cell Lung Cancer	20170414	-	192	Mouse	Blood, Tumor	Smart-seq2	GSE98048	""	RNA-seq	Peripheral blood and NSCLC tumors	""	""	""		""	""	""	""	""	""	""	""	
Villani et al Science	10.1126/science.aah4573	Alexandra-Chloé Villani, Rahul Satija, Gary Reynolds, Siranush Sarkizova, Karthik Shekhar, James Fletcher, Morgane Griesbeck, Andrew Butler, Shiwei Zheng, Suzan Lazo, Laura Jardine, David Dixon, Emily Stephenson, Emil Nilsson, Ida Grundberg, David McDonald, Andrew Filby, Weibo Li, Philip L. De Jager, Orit Rozenblatt-Rosen, Andrew A. Lane, Muzlifah Haniffa, Aviv Regev, Nir Hacohen	Science	Single-cell RNA-seq reveals new types of human blood dendritic cells, monocytes, and progenitors	20170420	-	3,359	Human	Blood	Smart-seq2	GSE94820	""	RNA-seq	Sorted from PBMCs: DCs, monocytes, progenitors	""	""	""	10	""	""	""	""	""	""	""	""	
Quadrato et al Nature	10.1038/nature22047	Giorgia Quadrato, Tuan Nguyen, Evan Z. Macosko, John L. Sherwood, Sung Min Yang, Daniel R. Berger, Natalie Maria, Jorg Scholvin, Melissa Goldman, Justin P. Kinney, Edward S. Boyden, Jeff W. Lichtman, Ziv M. Williams, Steven A. McCarroll, Paola Arlotta	Nature	Cell diversity and network dynamics in photosensitive human brain organoids	20170425	-	80,000	Human	Organoid	Drop-seq	GSE86153	""	RNA-seq	Cerebral organoid	""	""	""	202	Yes	No	No	Yes	Yes	""	""	""	
Li et al CSC	10.1016/j.stem.2017.03.007	Li Li, Ji Dong, Liying Yan, Jun Yong, Xixi Liu, Yuqiong Hu, Xiaoying Fan, Xinglong Wu, Hongshan Guo, Xiaoye Wang, Xiaohui Zhu, Rong Li, Jie Yan, Yuan Wei, Yangyu Zhao, Wei Wang, Yixin Ren, Peng Yuan, Zhiqiang Yan, Boqiang Hu, Fan Guo, Lu Wen, Fuchou Tang, Jie Qiao	Cell Stem Cell	Single-Cell RNA-Seq Analysis Maps Development of Human Germline Cells and Gonadal Niche Interactions	20170427	-	2,167	Human	Gonad	Smart-seq2 UMI	GSE86146	""	RNA-seq	Fetal germ cells	""	Male vs Female	GW4, GW5, GW7, GW9, GW10, GW12, GW14, GW18, GW20, GW21, GW23, GW24, GW25	17	Yes	Yes	No	Yes	Yes	""	""	""	
Rizvi et al NBT	10.1038/nbt.3854	Abbas H Rizvi, Pablo G Camara, Elena K Kandror, Thomas J Roberts, Ira Schieren, Tom Maniatis, Raul Rabadan	Nat Biotechnol	Single-cell topological RNA-seq analysis reveals insights into cellular differentiation and development	20170501	""	2,744	Mouse	Culture	CEL-seq	GSE94883	""	RNA-seq	Differentiation from mESC to motor neurons	""	2 through 6 days of differentation	""		""	""	""	""	""	""	""	""	
Zeng et al CMetabolism	10.1016/j.cmet.2017.04.014	Chun Zeng, Francesca Mulas, Yinghui Sui, Tiffany Guan, Nathanael Miller, Yuliang Tan, Fenfen Liu, Wen Jin, Andrea C. Carrano, Mark O. Huising, Orian S. Shirihai, Gene W. Yeo, Maike Sander	Cell Metabolism	Pseudotemporal Ordering of Single Cells Reveals Metabolic Control of Postnatal β Cell Proliferation	20170502	""	416	Mouse	Pancreas	SMARTer (C1)	GSE86479	""	RNA-seq	Beta cells	""	""	""		""	""	""	""	""	""	""	""	
Qiu et al CMetabolism	10.1016/j.cmet.2017.04.003	Wei-Lin Qiu, Yu-Wei Zhang, Ye Feng, Lin-Chen Li, Liu Yang, Cheng-Ran Xu	Cell Metabolism	Deciphering Pancreatic Islet β Cell and α Cell Maturation Pathways and Characteristic Features at the Single-Cell Level	20170502	""	891	Mouse	Pancreas	Smart-seq2	GSE87375	""	RNA-seq	""	""	""	E17.5, P0, P3, P15, P18, P60		""	""	""	""	""	""	""	""	
Yan et al Nature	10.1038/nature22313	Kelley S. Yan, Claudia Y. Janda, Junlei Chang, Grace X. Y. Zheng, Kathryn A. Larkin, Vincent C. Luca, Luis A. Chia, Amanda T. Mah, Arnold Han, Jessica M. Terry, Akifumi Ootani, Kelly Roelf, Mark Lee, Jenny Yuan, Xiao Li, Christopher R. Bolen, Julie Wilhelmy, Paige S. Davies, Hiroo Ueno, Richard J. von Furstenberg, Phillip Belgrader, Solongo B. Ziraldo, Heather Ordonez, Susan J. Henning, Melissa H. Wong, Michael P. Snyder, Irving L. Weissman, Aaron J. Hsueh, Tarjei S. Mikkelsen, K. Christopher Garcia, Calvin J. Kuo	Nature	Non-equivalence of Wnt and R-spondin ligands during Lgr5+ intestinal stem-cell self-renewal	20170502	""	13,247	Mouse	Small intestine	GemCode	GSE92377	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Der et al JCIInsight	10.1172/jci.insight.93009	Evan Der, Saritha Ranabothu, Hemant Suryawanshi, Kemal M. Akat, Robert Clancy, Pavel Morozov, Manjunath Kustagi, Mareike Czuppa, Peter Izmirly, H. Michael Belmont, Tao Wang, Nicole Jordan, Nicole Bornkamp, Janet Nwaukoni, July Martinez, Beatrice Goilav, Jill P. Buyon, Thomas Tuschl, Chaim Putterman	JCI Insight	Single cell RNA sequencing to dissect the molecular heterogeneity in lupus nephritis	20170503	""	899	Human	Skin, Kidney, Blood	SMARTer (C1)	PRJNA379992	""	RNA-seq	""	Lupus nephritis	""	""	6	""	No	No	Yes	Yes	""	""	""	
Lavin et al Cell	10.1016/j.cell.2017.04.014	Yonit Lavin, Soma Kobayashi, Andrew Leader, El-ad David Amir, Naama Elefant, Camille Bigenwald, Romain Remark, Robert Sweeney, Christian D. Becker, Jacob H. Levine, Klaus Meinhof, Andrew Chow, Seunghee Kim-Shulze, Andrea Wolf, Chiara Medaglia, Hanjie Li, Julie A. Rytlewski, Ryan O. Emerson, Alexander Solovyov, Benjamin D. Greenbaum, Catherine Sanders, Marissa Vignali, Mary Beth Beasley, Raja Flores, Sacha Gnjatic, Dana Pe’er, Adeeb Rahman, Ido Amit, Miriam Merad	Cell	Innate Immune Landscape in Early Lung Adenocarcinoma by Paired Single-Cell Analyses	20170504	-	1,920	Human	Lung	MARS-seq	GSE97168	""	RNA-seq	Non-lymphocytic immune cells	""	Lung adenocarcinoma lesion vs the adjacent non-involved lung	""		""	""	""	""	""	""	""	""	
Chung et al NCommunications	10.1038/ncomms15081	Woosung Chung, Hye Hyeon Eum, Hae-Ock Lee, Kyung-Min Lee, Han-Byoel Lee, Kyu-Tae Kim, Han Suk Ryu, Sangmin Kim, Jeong Eon Lee, Yeon Hee Park, Zhengyan Kan, Wonshik Han, Woong-Yang Park	Nat Commun	Single-cell RNA-seq enables comprehensive tumour and immune cell profiling in primary breast cancer	20170505	-	515	Human	Breast	SMARTer (C1)	GSE75688	""	RNA-seq	breast cancer	""	""	""	13	Yes	No	No	Yes	No	""	IFC Capture	""	
Fletcher et al CSC	10.1016/j.stem.2017.04.003	Russell B. Fletcher, Diya Das, Levi Gadye, Kelly N. Street, Ariane Baudhuin, Allon Wagner, Michael B. Cole, Quetzal Flores, Yoon Gi Choi, Nir Yosef, Elizabeth Purdom, Sandrine Dudoit, Davide Risso, John Ngai	Cell Stem Cell	Deconstructing Olfactory Stem Cell Trajectories at Single-Cell Resolution	20170511	-	849	Mouse	""	SMARTer (C1)	GSE95601	""	RNA-seq	Olfactory epithelium	""	""	""		""	""	""	""	""	""	""	""	
Sugimura et al Nature	10.1038/nature22370	Ryohichi Sugimura, Deepak Kumar Jha, Areum Han, Clara Soria-Valles, Edroaldo Lummertz da Rocha, Yi-Fen Lu, Jeremy A. Goettel, Erik Serrao, R. Grant Rowe, Mohan Malleshaiah, Irene Wong, Patricia Sousa, Ted N. Zhu, Andrea Ditadi, Gordon Keller, Alan N. Engelman, Scott B. Snapper, Sergei Doulatov, George Q. Daley	Nature	Haematopoietic stem and progenitor cells from human pluripotent stem cells	20170517	-	1,989	Human	Culture	InDrops	GSE85112	""	RNA-seq	Hematopoietic Stem and Progenitor Cells derived from iPSCs	""	""	""	3	Yes	No	No	No	Yes	""	""	""	
Lasrado et al Science	10.1126/science.aam7511	Reena Lasrado, Werend Boesmans, Jens Kleinjung, Carmen Pin, Donald Bell, Leena Bhaw, Sarah McCallum, Hui Zong, Liqun Luo, Hans Clevers, Pieter Vanden Berghe, Vassilis Pachnis	Science	Lineage-dependent spatial and functional organization of the mammalian enteric nervous system	20170518	-	120	Mouse	Enteric nervous system	""	E-MTAB-5553	""	RNA-seq	ENCCs	""	""	E12.5, E13		""	""	""	Yes	""	""	""	""	
